,Name,Population,Total Enrolled,City,State,Latitude,Longitude,Cluster
0,ADVENTHEALTH UNIVERSITY,2259,1802,ORLANDO,FL,28.576141693000068,-81.36768715399995,399
1,FLORIDA CAREER COLLEGE-BOYNTON BEACH,723,681,BOYNTON BEACH,FL,26.542857268000034,-80.09219037499997,397
2,TREND BARBER COLLEGE,87,74,HOUSTON,TX,30.013145875000077,-95.44840231499995,364
3,STRAYER UNIVERSITY-PENNSYLVANIA,2190,2190,TREVOSE,PA,40.13962069400003,-74.96301849199995,52
4,JOLIE HEALTH & BEAUTY ACADEMY-CHERRY HILL,85,76,CHERRY HILL,NJ,39.880220552000026,-75.00528053499994,52
5,SAN FRANCISCO FILM SCHOOL,70,40,SAN FRANCISCO,CA,37.782193343000074,-122.40679160199994,353
6,REND LAKE COLLEGE,2101,1802,INA,IL,38.13148101100006,-88.91828310799997,-1
7,WAUBONSEE COMMUNITY COLLEGE,8569,7564,SUGAR GROVE,IL,41.798044,-88.458796,-1
8,MIAMI UNIVERSITY-MIDDLETOWN,1815,1640,MIDDLETOWN,OH,39.523776,-84.35724,142
9,CENTRAL YESHIVA BETH JOSEPH,35,23,BROOKLYN,NY,40.615475,-73.959376,369
10,WESTERN TECHNICAL COLLEGE,653,579,EL PASO,TX,31.877798854000048,-106.42589093599997,-1
11,TULSA TECHNOLOGY CENTER,4868,3985,TULSA,OK,36.112948334000066,-95.88908942799998,276
12,CHAMBERLAIN UNIVERSITY-OHIO,744,744,COLUMBUS,OH,39.94044891600004,-82.94049278499995,234
13,UNITED THEOLOGICAL SEMINARY,472,412,DAYTON,OH,39.813461594000046,-84.276913429,142
14,HOLY FAMILY COLLEGE,-999,-999,MANITOWOC,WI,44.07103812100007,-87.74296135099996,-1
15,BUENA VISTA UNIVERSITY,2355,1863,STORM LAKE,IA,42.64225417700004,-95.20851103899997,-1
16,ACADEMY OF ART UNIVERSITY,10505,8928,SAN FRANCISCO,CA,37.78774752900006,-122.40068563799997,353
17,EVANGELICAL THEOLOGICAL SEMINARY,218,179,MYERSTOWN,PA,40.372980994000045,-76.30625154399996,372
18,MICHIGAN STATE UNIVERSITY,62325,49695,EAST LANSING,MI,42.72476,-84.473639,10
19,KING'S COLLEGE,2912,2320,WILKES-BARRE,PA,41.24888894500003,-75.87803192899997,48
20,THE UNIVERSITY OF THE SOUTH,2593,1800,SEWANEE,TN,35.204429866000055,-85.91777190299996,-1
21,CEDAR VALLEY COLLEGE,-999,-999,LANCASTER,TX,32.62568620500008,-96.76342092999994,335
22,CENTRAL TEXAS COLLEGE,11681,10173,KILLEEN,TX,31.119054,-97.809704,377
23,ANTELOPE VALLEY COLLEGE,13223,12057,LANCASTER,CA,34.67620732600005,-118.18616645399999,14
24,LONG BEACH CITY COLLEGE,24729,23147,LONG BEACH,CA,33.83174134700005,-118.13581931699997,15
25,AVALON SCHOOL OF COSMETOLOGY-LAYTON,236,206,LAYTON,UT,41.08991640600004,-112.00364011699997,109
26,ALASKA VOCATIONAL TECHNICAL CENTER,250,185,SEWARD,AK,60.111047,-149.44423,-1
27,SALINA AREA TECHNICAL COLLEGE,798,697,SALINA,KS,38.793597023000075,-97.63687391499997,17
28,BELLUS ACADEMY,177,155,MANHATTAN,KS,39.19167679100008,-96.60841296299998,18
29,PENNSYLVANIA STATE UNIVERSITY-WORLD CAMPUS,-999,-999,UNIVERSITY PARK,PA,40.832757,-77.841748,19
30,SOUTHEASTERN BAPTIST THEOLOGICAL SEMINARY,3790,3343,WAKE FOREST,NC,35.98077105400006,-78.51250039499996,-1
31,SHENANDOAH UNIVERSITY,5076,4174,WINCHESTER,VA,39.166058047000035,-78.15837590299998,-1
32,MIAMI UNIVERSITY-OXFORD,22122,18880,OXFORD,OH,39.509641560000034,-84.73182111699998,-1
